"","GSM2882963","GSM2882964","GSM2882965","GSM2882966","GSM2882967","GSM2882968","GSM2882969","GSM2882970","GSM2882971","GSM2882972","GSM2882973","GSM2882974","GSM2882975","GSM2882976","GSM2882977","GSM2882978","GSM2882979","GSM2882980","GSM2882981","GSM2882982","GSM2882983","GSM2882984","GSM2882985","GSM2882986","GSM2882987","GSM2882988","GSM2882989","GSM2882990","GSM2882991","GSM2882992","GSM2882993","GSM2882995","GSM2882996","GSM2882997","GSM2882998","GSM2882999","GSM2883000","GSM2883001","GSM2883002","GSM2883003","GSM2883004","GSM2883005","GSM2883006","GSM2883007","GSM2883008","GSM2883009","GSM2883010","GSM2883011","GSM2883012","GSM2883013","GSM2883014","GSM2883015","GSM2883016","GSM2883017","GSM2883018","GSM2883019"
"ENSG00000000419",0,0,0,0,-1,0,-1,-1,0,1,0,0,0,0,0,0,-1,0,1,0,-1,0,-1,1,0,-1,-1,-1,1,-1,-1,0,1,0,1,1,-1,0,-1,0,1,1,0,1,1,0,0,0,1,0,-1,1,1,0,0,0
"ENSG00000001036",0,1,0,1,0,1,1,1,0,-1,0,0,-1,1,0,-1,-1,0,0,0,0,-1,0,1,1,0,0,0,1,1,0,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,1,0,0,1,1,0,1
"ENSG00000001084",-1,-1,-1,0,0,0,0,1,0,1,0,0,0,-1,-1,-1,-1,0,1,0,1,0,-1,1,1,-1,0,-1,-1,-1,-1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-1,1,1,0,0,1
"ENSG00000001630",1,0,-1,0,0,1,0,1,0,0,0,-1,-1,0,-1,0,-1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,-1,-1,-1,0,0,-1,-1,0,-1,-1,0,0,0,0,-1,-1,0,1,1,0,0,1,0,0,1
"ENSG00000002549",1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,-1,0,0,-1,-1,-1,1,1,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,0,1,1,1,1,0,-1,0,0,-1,0,-1,0,0,0,0,0,1
"ENSG00000002587",1,0,0,0,0,-1,-1,1,0,0,0,0,0,1,1,-1,-1,-1,0,-1,0,1,0,1,1,0,0,-1,1,1,1,-1,-1,-1,-1,0,0,0,-1,0,0,1,0,0,0,0,0,-1,0,0,-1,0,1,1,0,1
"ENSG00000002726",-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
"ENSG00000002746",-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,-1,-1,1,1,0,0,0,0,1,1,0,0,0,0,-1,1,1,-1,-1,-1,-1,-1,-1,0,-1,1,1,0,0,0,1,0,1,1,-1,0,0,0,0,1,1,1,0
"ENSG00000003137",0,0,0,1,1,-1,-1,1,0,-1,0,-1,-1,1,1,0,0,0,-1,0,0,0,0,1,1,0,-1,-1,1,1,-1,0,-1,0,-1,-1,-1,-1,0,0,0,1,1,0,0,0,0,0,-1,0,0,0,0,1,1,1
"ENSG00000003987",0,-1,-1,0,-1,0,-1,-1,0,0,0,0,-1,1,0,0,0,1,1,0,0,-1,-1,0,0,-1,0,0,1,1,1,0,0,0,1,1,0,-1,-1,0,-1,0,0,1,1,0,-1,1,1,0,0,1,1,0,-1,0
"ENSG00000003989",-1,-1,-1,0,0,0,0,-1,1,0,-1,0,0,0,0,1,1,1,1,0,0,-1,-1,-1,-1,-1,0,0,1,1,-1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,-1,-1,-1
"ENSG00000004455",1,0,1,0,0,0,0,1,-1,0,0,0,-1,-1,0,0,1,1,0,0,0,-1,0,1,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,-1,0,-1,-1,1,1,1,1,0,0,0,0,0,0,0,0,1
"ENSG00000004468",1,1,0,0,-1,-1,-1,-1,0,0,-1,1,1,0,-1,0,0,-1,0,-1,-1,1,1,-1,-1,0,1,1,0,0,0,0,1,0,0,0,0,-1,-1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,-1
"ENSG00000004478",0,0,0,0,0,1,1,0,0,-1,-1,0,0,1,1,1,1,-1,-1,0,0,1,1,0,0,0,0,0,-1,0,1,0,-1,0,-1,-1,0,0,0,0,0,1,1,0,-1,1,1,-1,-1,0,0,-1,-1,1,0,-1
"ENSG00000004779",1,1,1,0,-1,0,0,0,-1,-1,-1,1,1,0,0,-1,-1,0,-1,-1,0,1,1,0,0,1,1,1,-1,-1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,-1
"ENSG00000004799",-1,-1,0,0,0,-1,-1,1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,0,-1,1,0,1,-1,-1,1,1,0,1,1,0,0,0,-1,-1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0
"ENSG00000004809",-1,-1,-1,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,0,1,0,1
"ENSG00000004864",0,0,0,0,-1,0,0,0,0,-1,0,-1,0,-1,-1,0,0,0,0,0,-1,0,0,1,1,0,-1,-1,1,1,-1,0,1,0,1,1,0,1,0,0,-1,0,0,1,1,1,0,0,-1,-1,-1,1,1,0,-1,1
"ENSG00000004939",1,1,0,-1,-1,0,0,1,0,0,0,-1,0,-1,-1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,1,0,0,0,0,1,0,1,1,-1,-1,-1,-1,-1,-1,0,0,1
"ENSG00000004961",1,1,1,-1,-1,0,1,-1,0,1,0,0,0,1,1,0,-1,-1,0,0,-1,-1,0,0,-1,0,1,1,0,-1,-1,-1,0,-1,0,1,0,0,0,0,0,0,-1,1,1,0,0,0,0,1,0,1,0,0,0,-1
"ENSG00000005022",0,0,-1,0,0,0,0,1,-1,0,-1,-1,-1,1,1,0,-1,0,0,1,0,0,-1,1,1,1,0,0,0,1,-1,0,0,1,0,-1,0,0,-1,-1,-1,-1,0,1,-1,0,0,0,0,0,1,1,0,0,1,1
"ENSG00000005075",-1,0,1,1,1,-1,0,1,0,-1,0,0,0,1,1,0,0,0,-1,1,1,0,0,0,1,0,0,1,-1,0,0,-1,-1,0,-1,-1,-1,0,1,0,0,0,0,-1,-1,0,0,0,0,1,1,-1,-1,0,1,0
"ENSG00000005187",0,0,0,0,1,-1,-1,1,0,1,0,0,0,1,1,-1,-1,-1,1,0,0,-1,-1,0,0,-1,-1,0,1,1,-1,0,0,0,0,1,-1,-1,0,1,0,0,0,1,1,0,0,-1,0,-1,-1,1,1,0,0,0
"ENSG00000005339",-1,0,0,1,1,-1,-1,0,0,0,0,0,0,1,1,1,1,-1,-1,0,0,0,1,1,1,0,0,0,0,1,0,0,-1,0,-1,0,1,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,0,0,1,1,1
"ENSG00000005381",-1,0,1,0,1,0,1,0,-1,1,1,0,0,-1,-1,-1,-1,-1,0,1,0,0,-1,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,0,-1,0,0,1,1,1,0,-1,-1,1,0,0,-1,1,0,-1,-1,-1,0,-1
"ENSG00000005421",-1,-1,0,-1,0,-1,-1,-1,0,-1,0,0,0,-1,-1,1,1,0,0,-1,-1,0,0,-1,0,0,0,0,1,-1,-1,1,1,1,1,1,-1,-1,0,0,1,-1,-1,1,0,0,0,0,1,1,0,0,0,0,-1,-1
"ENSG00000005469",0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,1,-1,-1,1,1,1,0,-1,0,0,0,0,-1,-1,1,0,-1,0,1,0,1,0,-1,0,0,0,0,-1,-1,1,1,0,-1,1,1,0,0,0,1,0,0,1
"ENSG00000005471",0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,1,1,0,1,1,-1,-1,-1,-1,-1,1,1,-1,0,0,0,0,0,-1,-1,0,0,0,0,-1,1,1,0,0,1,1,1,0,1,1,0,0,-1
"ENSG00000005483",0,0,-1,1,1,0,-1,1,-1,0,0,-1,-1,1,0,0,0,1,1,0,0,-1,-1,1,1,-1,-1,-1,1,1,0,-1,0,-1,0,0,0,-1,0,0,-1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
"ENSG00000005810",0,0,-1,0,0,0,-1,1,0,-1,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,1,1,0,-1,-1,1,1,-1,-1,0,-1,0,0,-1,-1,0,0,-1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1
"ENSG00000005882",0,0,1,0,1,0,0,0,0,0,0,1,1,-1,0,0,0,-1,-1,0,0,0,0,0,0,1,1,1,-1,1,0,0,-1,0,-1,-1,0,1,1,1,1,0,0,-1,-1,0,0,-1,-1,0,0,-1,-1,1,1,-1
"ENSG00000006007",1,1,1,0,0,0,0,-1,0,1,0,1,1,-1,-1,0,0,-1,0,0,0,0,0,1,1,0,1,1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,1,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000006071",0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,1,0,0,1,-1,-1,0,-1,0,1,1,0,0,-1,-1,0,-1,-1,0,0,0,-1,0,1,1,-1
"ENSG00000006530",1,0,0,1,0,0,-1,1,0,0,0,0,-1,-1,-1,0,0,0,1,0,0,-1,0,1,1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,1,-1,0,0,0,-1,-1,1,0,0,0,1,1,0,0,1,1,1,0,1
"ENSG00000006534",0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,-1,-1,-1,0,1,1,0,0,1,1,0,-1,0,0,1,-1,0,-1,-1,-1,-1,0,0,0,-1,0,0,-1,-1,-1,-1,-1,0,0,1,1,-1,0,1,0,1
"ENSG00000006625",1,1,1,0,0,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,1,0,1,-1,0,-1,1,0,1,-1,0,0,-1,-1,1,1,0,-1,-1,0,0,0,0,1,1,0,-1,0,0,0,0,0
"ENSG00000006695",1,1,1,0,-1,0,0,-1,-1,0,0,0,0,1,1,-1,-1,0,0,0,0,0,0,-1,-1,1,1,1,0,1,0,1,0,0,0,-1,0,0,0,0,0,-1,0,0,1,1,0,0,1,1,0,-1,-1,-1,-1,-1
"ENSG00000006756",0,0,0,0,1,-1,0,1,1,1,0,-1,-1,1,1,1,1,-1,0,1,0,0,0,1,1,0,-1,0,0,1,0,-1,-1,-1,-1,0,-1,0,0,-1,-1,0,0,0,-1,0,0,-1,0,1,0,0,0,0,0,1
"ENSG00000006757",1,0,0,-1,-1,-1,-1,-1,0,1,0,0,-1,1,1,0,0,1,1,0,0,0,0,0,-1,-1,1,0,0,-1,-1,1,1,0,-1,0,-1,0,0,0,1,-1,0,0,1,0,-1,1,1,0,0,1,0,0,0,0
"ENSG00000007001",-1,-1,-1,0,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,1,1,0,0,1
"ENSG00000007168",0,0,0,-1,-1,0,0,-1,0,0,-1,0,-1,1,1,0,-1,0,0,-1,-1,-1,0,1,0,-1,0,0,1,0,1,-1,0,-1,1,1,0,0,-1,0,-1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
"ENSG00000007171",0,0,0,1,0,0,0,0,0,1,0,1,1,-1,-1,-1,-1,0,-1,1,0,1,0,0,0,0,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,0,1,0,-1,-1,0,-1,-1,0,1,-1,0,0,1,0,1,0,-1
"ENSG00000007216",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"ENSG00000007350",-1,0,1,-1,-1,1,1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,1,0,0,-1,1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,-1,0,-1
"ENSG00000007541",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-1,-1,1,1,0,0,1,1,1,0,-1,-1,0,-1,1,-1,1,-1,-1,1,1,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,-1,-1,1,1,0
"ENSG00000007933",0,-1,1,0,1,1,0,0,-1,-1,-1,1,0,0,0,-1,0,-1,0,-1,-1,0,0,1,1,0,1,1,-1,-1,0,1,-1,0,1,0,1,0,-1,0,-1,1,1,0,0,0,-1,0,0,-1,-1,0,0,0,0,1
"ENSG00000007944",1,1,-1,1,0,0,0,1,0,-1,-1,0,0,1,1,0,0,-1,-1,0,-1,0,1,1,1,0,-1,-1,0,0,1,0,0,0,0,0,0,0,1,-1,0,-1,0,0,0,0,0,-1,-1,-1,-1,1,0,1,0,1
"ENSG00000008130",0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,1,1,1,0,-1,-1,1,-1,0,-1,0,-1,-1,0,0,0,-1,0,1,1,-1,-1,1,0,-1,-1,0,0,0,-1,1,0,1
"ENSG00000008300",1,0,-1,-1,1,0,1,1,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,-1,0,-1,-1,0,0,1,1,-1,0,1,1,-1,0,0,0,1
"ENSG00000008311",0,0,0,1,1,0,0,1,-1,0,-1,-1,-1,0,0,-1,-1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,-1,0,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,-1,1,1,1,1,0,0,0,0,1
"ENSG00000008394",0,-1,-1,0,0,-1,-1,1,1,1,0,0,0,1,1,0,-1,0,1,0,0,0,0,1,1,0,-1,-1,0,0,-1,0,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,1,0,0,0,0,0,0,0,1,1,1,1,1
"ENSG00000008438",1,0,0,1,0,1,1,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,0,-1,-1,-1,-1,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1
"ENSG00000008513",1,1,0,1,1,0,0,0,0,-1,0,0,0,-1,-1,1,1,0,0,1,1,0,0,0,0,1,0,0,-1,0,-1,0,-1,0,-1,-1,-1,0,0,0,1,-1,-1,0,-1,1,0,0,0,1,1,-1,-1,0,0,1
"ENSG00000009335",0,0,1,-1,-1,0,0,-1,0,0,0,0,-1,0,-1,1,1,-1,0,0,-1,1,0,0,0,0,1,1,0,0,-1,1,1,0,1,1,0,0,-1,-1,-1,0,0,1,1,1,1,-1,0,0,-1,0,0,0,-1,0
"ENSG00000009413",0,0,0,1,0,0,0,1,0,0,0,0,-1,-1,-1,1,0,0,0,0,-1,-1,-1,1,1,0,-1,-1,1,0,1,-1,0,-1,1,1,0,-1,0,0,0,-1,-1,0,1,0,0,0,1,0,-1,1,1,0,0,1
"ENSG00000009830",0,0,0,0,0,1,1,1,0,-1,0,0,0,0,0,1,1,-1,-1,-1,0,0,0,1,1,1,0,0,-1,1,1,1,0,1,-1,-1,0,0,0,-1,0,0,0,-1,-1,0,1,-1,-1,0,-1,-1,0,0,0,1
"ENSG00000010165",0,0,1,0,0,1,1,1,0,1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,1,0,1,0,0,-1,-1,0,0,0,1,-1,-1,0,0,0,0,0,1,1,-1,-1,0,0,0,0,1,1,-1,-1,0,1,1
"ENSG00000010256",0,1,1,0,0,0,1,0,0,-1,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,1,1,1,-1,0,0,1,-1,1,-1,-1,1,1,0,0,1,0,1,-1,-1,0,1,-1,-1,0,0,-1,-1,0,0,-1
"ENSG00000010379",-1,0,-1,0,0,-1,-1,0,0,-1,0,0,0,1,1,0,0,0,0,1,0,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,1,-1,0,1,1,-1,1,0,1,1,1,0,1,1,1,0,0,0,-1,-1,0,0,-1
"ENSG00000010404",0,0,-1,1,1,-1,-1,1,0,-1,-1,-1,-1,1,1,0,0,0,0,0,0,-1,-1,1,1,0,-1,0,1,1,-1,-1,0,-1,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1
"ENSG00000010932",-1,0,-1,0,-1,0,1,1,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,1,1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,1
"ENSG00000011009",0,0,1,1,0,1,1,1,0,-1,0,0,0,1,0,1,1,-1,-1,1,0,0,0,0,1,1,0,1,-1,0,-1,0,-1,0,-1,-1,0,1,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,1
"ENSG00000011052",1,1,1,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,1,1,1,1,1,-1,1,1,0,0,0,-1,-1,0,-1,1,1,0,0,0,-1,-1,0,0,-1,-1,0,0,0,-1,0,0,1
"ENSG00000011083",1,0,-1,1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
"ENSG00000011198",0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,1,-1,0,-1,-1,1,1,-1,0,0,1,0,-1,0,1,-1,1,0,0,-1,-1,1,0,0,-1,1,1,1,0,1,1,0,0,1,0,-1,-1,1
"ENSG00000011275",0,0,0,0,0,0,0,1,0,-1,-1,0,0,1,1,1,1,-1,-1,0,0,0,0,1,1,0,0,-1,-1,-1,-1,1,0,0,0,-1,0,0,0,-1,0,0,1,1,1,1,1,-1,-1,0,-1,-1,0,0,0,1
"ENSG00000011405",0,0,0,0,0,0,-1,1,0,0,0,-1,-1,1,0,0,0,0,1,0,-1,-1,-1,1,1,-1,-1,-1,1,1,1,0,0,-1,1,0,0,-1,0,0,-1,-1,0,0,1,0,-1,0,1,0,0,1,1,0,0,1
"ENSG00000012232",0,1,0,-1,0,-1,0,0,0,0,0,1,1,0,0,0,0,-1,-1,0,0,1,0,1,1,0,1,1,-1,0,1,0,-1,1,-1,-1,0,0,0,0,1,0,0,-1,-1,1,1,-1,-1,0,0,-1,-1,1,0,0
"ENSG00000012660",1,0,0,0,-1,0,0,1,1,-1,0,-1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,-1,-1,-1,0,0,-1,-1,-1,0,-1,-1,-1,0,0,-1,-1,0,1,0,0,1,0,0,0,0,1,1,1,1,1
"ENSG00000012779",1,1,-1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,1,0,0,0,1,-1,-1,-1,0,0,0,1,1,1
"ENSG00000012963",0,0,-1,1,0,1,0,1,0,1,-1,-1,-1,0,0,1,0,1,0,1,1,-1,-1,1,1,0,0,-1,-1,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,1,1,0,0,1,0,-1,-1,0
"ENSG00000013288",0,0,-1,1,1,0,0,1,0,-1,-1,-1,-1,1,1,0,0,-1,0,0,0,0,1,1,1,0,-1,-1,0,1,0,0,-1,0,-1,-1,0,-1,0,0,0,0,0,-1,0,1,1,-1,0,0,0,0,0,1,1,1
"ENSG00000013375",0,0,-1,1,0,0,0,1,0,1,0,-1,0,0,0,-1,-1,0,1,0,-1,-1,-1,1,1,0,-1,-1,1,0,1,-1,0,-1,1,1,0,0,0,0,-1,-1,-1,0,0,0,0,1,1,0,0,0,1,0,0,1
"ENSG00000013392",0,0,-1,1,0,1,1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,1,1,0,-1,-1,1,1,-1,-1,0,0,0,0,1,0,0,0,-1,-1,-1,1,1,0,0,0,0,-1,0,1,1,1,0,1
"ENSG00000013503",0,0,1,1,0,1,0,0,0,0,-1,-1,-1,1,1,0,0,0,0,0,0,-1,-1,1,0,0,0,-1,0,0,1,-1,-1,-1,0,0,-1,1,0,0,-1,1,0,0,0,-1,-1,1,1,1,1,0,0,0,-1,1
"ENSG00000013561",1,0,0,0,0,0,-1,1,0,-1,-1,0,0,0,0,1,1,1,0,-1,-1,-1,0,1,1,0,0,-1,1,0,-1,0,0,-1,1,0,-1,0,0,1,0,0,0,0,0,0,-1,1,0,0,-1,1,1,-1,-1,1
"ENSG00000014138",0,1,-1,1,0,-1,-1,1,0,0,0,-1,0,1,1,0,-1,-1,-1,1,0,0,0,1,1,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,0,1,0,0,-1,0,1,0,1,1,0,-1,1,0,0,0,0,0,1
"ENSG00000014257",0,0,-1,0,0,-1,-1,1,0,-1,1,0,-1,-1,-1,-1,-1,1,0,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,1,0,-1,-1,1,1,0,0,-1,-1,-1,0,-1,0,0,-1,1
"ENSG00000014641",1,1,1,0,0,1,1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1,1,0,-1,1,0,0,-1,0,0,0,-1,0,1,0,0,0,0,1,-1,0,1,1,0,0,1,0,-1,0,-1
"ENSG00000015413",-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"ENSG00000015520",0,0,0,0,1,-1,0,0,0,-1,1,-1,-1,1,1,1,1,0,-1,1,0,0,0,1,1,0,-1,-1,-1,1,-1,0,-1,1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,-1,0,-1,0,0,0,1,0,0,0,1
"ENSG00000015532",0,1,-1,1,0,1,1,0,0,0,0,0,0,-1,-1,0,0,-1,-1,1,0,0,0,1,1,1,0,1,-1,0,0,0,-1,0,-1,-1,1,0,1,0,0,0,0,-1,-1,1,0,-1,-1,0,0,0,-1,1,0,1
"ENSG00000016391",1,1,1,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,-1,0,0,0,-1,-1,0,0,0,0,0,-1,-1,1,1,0,1,-1,0,0,0,1,1,0,0,0,0,0,1,1,-1,-1,0,0,-1,-1,-1,-1,-1
"ENSG00000016864",0,0,0,0,0,0,1,1,0,0,-1,-1,-1,0,1,1,1,1,0,0,0,0,0,1,1,0,-1,0,0,1,-1,0,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,0,1,0,-1,0,0,-1,1,1,0,1,1
"ENSG00000017260",1,0,0,-1,-1,0,0,0,0,0,-1,0,0,0,0,1,1,0,-1,-1,-1,0,0,1,1,0,0,-1,1,1,0,0,1,-1,0,0,-1,-1,-1,1,0,-1,0,1,1,0,0,0,0,-1,-1,1,1,0,0,1
"ENSG00000017483",0,0,0,-1,-1,-1,-1,1,0,-1,-1,-1,0,-1,-1,-1,-1,0,-1,0,0,0,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,0,-1,1,1,1,1,-1,-1,-1,-1,-1,0,-1,-1,1
"ENSG00000017797",1,0,1,0,-1,-1,-1,1,0,1,0,0,0,1,1,-1,-1,-1,0,0,-1,0,0,1,1,1,0,0,0,0,0,-1,-1,-1,-1,0,0,0,1,1,1,0,-1,0,0,0,-1,0,0,0,-1,0,1,0,0,1
"ENSG00000018280",1,1,-1,-1,0,-1,-1,1,0,0,0,0,0,-1,-1,-1,-1,1,0,0,1,0,0,1,1,0,-1,-1,-1,0,1,0,0,1,-1,-1,1,0,0,0,0,0,1,0,-1,1,0,-1,-1,0,0,0,-1,0,-1,1
"ENSG00000018510",0,0,-1,0,-1,0,0,1,-1,1,0,0,-1,1,1,0,0,0,0,0,-1,-1,-1,1,1,-1,-1,-1,1,1,0,-1,0,-1,0,1,0,-1,0,-1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
"ENSG00000018625",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,-1,1,1,0,0,-1,-1,0,0,0,-1,0,0,1,-1,1,-1,-1,1,1,0,0,0,0,0,-1,-1,1,1,-1,-1,0,1,-1,-1,0,0,-1
"ENSG00000019186",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1
"ENSG00000021461",1,0,0,0,0,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,1,0,0,0,0,-1,0,0,0,0,1,-1,-1,-1,0,-1,-1,0,-1,1,-1,-1,1,1,-1,-1,1,0,-1,0,1,1,1,0,0,0,0,0,1
"ENSG00000021488",0,0,-1,0,0,0,0,0,0,-1,0,0,-1,0,-1,1,0,1,0,-1,-1,-1,0,0,0,-1,-1,1,-1,1,-1,1,1,1,0,0,0,1,0,1,0,-1,-1,1,1,1,0,0,-1,1,-1,-1,0,0,-1,-1
"ENSG00000021826",0,0,1,1,1,-1,0,1,0,-1,-1,0,0,1,1,-1,-1,0,1,0,0,-1,0,1,1,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,0,0,0,0,1,1,-1,0,-1,0,0,-1,-1,0,1,0,0,0,1
"ENSG00000023041",0,0,0,1,1,1,0,1,0,0,0,-1,0,-1,-1,-1,-1,0,1,0,0,-1,-1,1,1,0,0,-1,1,0,-1,0,0,-1,1,0,-1,0,0,0,-1,-1,0,0,0,0,-1,1,1,0,0,1,1,0,0,1
"ENSG00000023228",1,1,1,0,-1,0,0,-1,-1,0,-1,1,0,1,0,0,-1,0,0,-1,0,0,0,0,-1,0,1,1,1,0,0,0,0,-1,0,0,0,-1,0,1,1,1,0,1,1,0,0,1,0,-1,-1,0,0,-1,-1,-1
"ENSG00000023330",1,1,1,0,0,1,1,0,0,-1,0,0,0,1,1,0,1,-1,-1,0,0,0,0,1,0,0,1,1,-1,-1,0,1,0,1,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,1
