"","Control1","Control2","Control3","M1","M2","M3"
"Atp5d",1,-1,-1,0,1,0
"Atp5e",1,-1,-1,0,1,0
"Atp5g1",0,1,-1,-1,1,0
"Atp5g3",-1,0,-1,1,1,0
"Atp5h",1,-1,-1,0,1,0
"Atp5j",0,0,-1,1,1,-1
"Atp5j2",1,-1,-1,0,1,0
"Atp5k",0,-1,-1,1,1,0
"Atp5mpl",1,0,-1,0,1,-1
"Atp5o",1,-1,0,-1,1,0
"Atp5pb",0,0,0,0,0,0
"Atp6ap1",-1,1,1,0,-1,0
"Atp6v0a1",-1,-1,1,0,0,1
"Atp6v0a2",0,0,-1,-1,1,1
"Atp6v0a4",-1,-1,0,-1,-1,-1
"Atp6v0b",0,1,-1,0,1,-1
"Atp6v0c",0,1,-1,0,1,-1
"Atp6v0d1",-1,1,0,0,-1,1
"Atp6v0d2",1,1,0,0,-1,-1
"Atp6v0e",-1,0,-1,0,1,1
"Atp6v1a",0,1,1,-1,-1,0
"Atp6v1b1",1,1,0,-1,0,-1
"Atp6v1b2",1,0,1,-1,-1,0
"Atp6v1c1",-1,-1,0,0,1,1
"Atp6v1c2",0,1,0,-1,-1,1
"Atp6v1d",0,1,1,-1,0,-1
"Atp6v1e1",1,0,-1,-1,1,0
"Atp6v1e2",-1,-1,-1,-1,-1,-1
"Atp6v1f",-1,1,-1,0,1,0
"Atp6v1g1",-1,1,-1,1,0,0
"Atp6v1g2",-1,1,0,-1,1,0
"Atp6v1g3",-1,-1,-1,-1,-1,-1
"Atp6v1h",0,0,1,-1,-1,1
"Atp8a1",1,0,1,-1,-1,0
"Atp8b1",-1,-1,1,1,0,0
"Atp8b2",-1,0,1,0,-1,1
"Atrip",0,1,-1,0,-1,1
"Auh",0,-1,0,-1,1,1
"Awat1",-1,-1,-1,-1,-1,-1
"Awat2",1,1,0,-1,-1,0
"Azin2",-1,-1,0,1,0,1
"B3galnt1",-1,0,1,0,-1,1
"B3galnt2",0,1,1,-1,-1,0
"B3galt1",0,1,1,0,-1,-1
"B3galt2",-1,0,1,1,0,-1
"B3galt4",1,1,-1,0,-1,0
"B3galt5",1,1,0,-1,0,-1
"B3galt6",0,-1,-1,1,0,1
"B3gat1",-1,-1,-1,0,1,-1
"B3gat2",0,-1,1,-1,1,0
"B3gat3",0,1,-1,0,1,-1
"B3glct",0,0,1,-1,-1,1
"B3gnt2",-1,0,1,0,-1,1
"B3gnt3",-1,1,1,0,-1,0
"B3gnt4",0,-1,1,1,-1,0
"B3gnt5",1,-1,1,0,0,-1
"B3gnt6",0,1,0,0,-1,-1
"B3gnt7",-1,0,1,0,-1,1
"B3gnt8",1,0,-1,-1,1,0
"B3gnt9",-1,0,1,0,-1,1
"B3gntl1",-1,0,0,1,-1,1
"B4galnt1",1,1,0,-1,-1,0
"B4galnt2",-1,0,-1,0,1,-1
"B4galnt3",0,1,0,-1,0,-1
"B4galnt4",-1,1,-1,0,0,1
"B4galt1",1,1,0,-1,-1,0
"B4galt2",-1,-1,0,1,0,1
"B4galt3",0,1,-1,1,-1,0
"B4galt4",-1,-1,1,1,0,0
"B4galt5",0,-1,1,0,-1,1
"B4galt6",0,1,1,-1,-1,0
"B4galt7",-1,1,-1,0,0,1
"B4gat1",-1,0,0,1,-1,1
"Baat",-1,-1,-1,-1,0,1
"Babam2",-1,-1,1,0,0,1
"Bard1",-1,0,1,1,-1,0
"Bbox1",1,1,0,0,-1,-1
"Bcap31",-1,-1,1,0,1,0
"Bcat1",0,-1,1,0,-1,1
"Bcat2",0,1,-1,-1,1,0
"Bcdin3d",-1,1,-1,0,0,1
"Bche",0,0,1,1,-1,-1
"Bckdha",1,-1,-1,0,1,0
"Bckdhb",1,-1,0,-1,1,0
"Bckdk",0,0,-1,-1,1,1
"Bco1",1,-1,-1,1,0,0
"Bco2",-1,-1,1,0,0,1
"Bdh1",1,1,-1,-1,0,0
"Bdh2",-1,1,0,-1,0,1
"Bhmt",-1,-1,0,-1,-1,-1
"Bhmt2",-1,-1,-1,-1,-1,-1
"Birc6",-1,1,1,0,-1,0
"Blvra",-1,-1,0,1,0,1
"Blvrb",-1,1,-1,0,0,1
"Bmp1",-1,0,1,0,-1,1
"Bpgm",-1,-1,1,0,1,0
"Bpnt1",1,1,0,0,-1,-1
"Bpnt2",0,0,0,0,0,0
"Brap",0,0,-1,-1,1,1
"Brpf1",-1,0,0,-1,1,1
"Bscl2",0,-1,-1,1,0,1
"Bst1",1,-1,0,0,-1,1
"Btd",-1,-1,0,1,0,1
"Bud23",0,1,-1,0,1,-1
"C1galt1",0,0,1,1,-1,-1
"C1galt1c1",0,1,1,0,-1,-1
"Cad",0,0,-1,-1,1,1
"Calm1",0,-1,1,0,-1,1
"Calm3",-1,0,1,0,-1,1
"Cant1",-1,0,0,1,-1,1
"Capn3",0,-1,1,-1,1,0
"Car1",0,-1,-1,1,0,1
