"","Control1","Control2","Control3","M1","M2","M3"
"Galnt17",0.250359,0.295367,0.348905,0.361475,0.401302,0.389928
"Gpbp1l1",14.041327,16.533904,16.408548,13.035031,12.280966,13.227831
"Xlr3b",1.73948,3.406119,3.000122,1.650446,1.238238,1.499993
"Gfi1",0.138996,0.18936,0.173181,0.169785,0.086733,0.443114
"Glmn",1.984015,3.073422,2.731133,2.619918,1.994602,1.491837
"Fam69a",7.362483,10.766002,14.924503,10.487027,9.749146,8.762539
"Sult1e1",0,0,0,0,0,0
"Sult1d1",0.085431,0.256257,0,0.015003,0.016339,0
"Brdt",0.425174,0.628193,0.606058,0.607387,0.325331,0.528441
"Pkhd1",0,0.002329,0,0,0,0.004224
"Oser1",16.663076,22.425568,20.245485,17.262699,15.031713,17.681728
"Klf16",2.617065,2.984841,3.227531,3.348375,3.480153,3.683962
"Cfap53",0.047327,0.027584,0,0.006125,0,0.022329
"Pet2",0,0,0,0,0,0
"Dennd1a",4.813673,6.051147,6.944478,5.114147,4.299555,7.151086
"Brsk1",0.562819,1.188429,0.545541,0.805831,0.430557,0.674527
"Vmn1r188",0,0,0,0,0,0
"Vmn1r199",0,0,0,0,0,0
"Vmn1r195",0,0,0,0,0,0
"Vmn1r194",0,0,0,0,0,0
"Vmn1r197",0,0,0,0,0,0
"Vmn1r196",0,0.162126,0,0.043056,0,0
"Tifa",1.835866,2.357454,3.230106,1.962,1.194457,3.362527
"Epgn",0.027897,0,0.165328,0.105058,0.105728,0.047879
"Baz1a",3.566791,3.393642,5.788334,3.785985,3.310485,4.197329
"Ncapd3",1.68353,2.276963,3.057992,2.175517,2.300045,2.749523
"6030408B16Rik",0,0,0,0.040059,0.231,0.183267
"Map2k2",58.904271,58.012831,35.176087,53.161443,64.601155,66.761106
"9430097D07Rik",0,0,0,0,0,0
"Krt76",0,0,0,0,0.029759,0.040292
"Lingo2",0,0,0,0,0,0
"S1pr5",1.426049,0.263278,0.386047,0.337799,2.807384,0.987314
"Klhl31",7.849106,9.115417,13.071298,7.178068,10.860256,8.215039
"Sstr3",0,0.007868,0.011762,0.044101,0,0
